,pred
285,5624.54
286,15145.59
287,13310.06
288,44340.93
289,6923.62
290,46377.22
291,7791.2
292,13324.55
293,7886.42
294,6225.93
295,47746.88
296,41826.49
297,11108.2
298,2272.77
299,4933.69
300,56202.03
301,7876.12
302,5852.35
303,54719.84
304,5771.1
305,46124.73
306,4857.97
307,12301.03
308,12506.7
309,5435.94
310,54780.84
311,6645.6
312,2846.29
313,3189.3
314,56389.47
315,5032.54
316,33103.98
317,56311.76
318,38959.99
319,4617.12
320,10985.05
321,6908.02
322,2421.82
323,54898.6
324,55763.86
325,7637.45
326,5554.9
327,5573.69
328,12023.17
329,7420.41
330,6190.69
331,8622.0
332,61461.13
333,45180.24
334,6359.88
335,17117.75
336,64305.67
337,6831.61
338,5171.26
339,13410.09
340,6617.4
341,5411.12
342,12771.86
343,58899.34
344,4702.52
345,2414.78
346,6977.48
347,5689.46
348,11100.07
349,11911.14
350,21110.05
351,31945.6
352,51840.12
353,6869.0
354,58251.12
355,6014.36
356,9957.1
357,4562.74
358,6930.25
359,48199.4
360,45861.31
361,4439.67
362,3243.67
363,11463.24
364,6644.4
365,8375.4
366,4705.88
367,4682.52
368,60284.97
369,6466.44
370,4031.77
371,2471.43
372,56205.27
373,2408.34
374,6001.7
375,7339.34
376,12732.15
377,2393.13
378,12127.73
379,7519.08
380,11405.78
381,45423.98
382,4467.33
383,7792.93
384,5789.47
385,60260.41
386,5055.71
387,4497.47
388,66272.83
389,12567.29
390,4266.41
391,6938.63
392,16925.08
393,6478.98
394,6037.0
395,8250.43
396,16502.79
397,2834.69
398,7112.45
399,4397.54
400,5590.53
401,7667.32
402,3178.92
403,2680.83
404,12394.93
405,45835.39
406,4204.25
407,57842.9
408,4088.13
409,4792.27
410,5291.94
411,14526.55
412,74008.72
413,4262.96
414,64501.42
415,5288.85
416,12777.87
417,57954.02
418,4324.4
419,10937.15
420,50811.0
421,2117.9
422,47122.67
423,4531.53
424,8446.53
425,6180.26
426,4170.52
427,1554.28
428,7895.5
429,24735.78
430,6046.04
431,14444.4
432,3656.68
433,6029.9
434,1825.46
435,4379.46
436,5475.54
437,54894.64
438,4635.45
439,7068.82
440,61177.53
441,33071.59
442,60082.47
443,63929.29
444,52569.03
445,5265.86
446,5361.16
447,4509.48
448,11782.23
449,4846.03
450,5834.16
451,4657.54
452,2465.61
453,4064.29
454,6351.29
455,56633.59
456,4299.1
457,54681.41
458,11607.51
459,41589.49
460,6915.18
461,3586.39
462,5840.2
463,45242.45
464,4822.94
465,11299.89
466,59511.75
467,12310.18
468,5701.99
469,10696.71
470,5297.74
471,49875.04
472,9328.05
473,5717.32
474,3045.99
475,2365.93
476,42127.57
477,6469.31
478,47808.52
479,4981.81
480,1934.39
481,32316.25
482,12739.2
483,4731.15
484,5620.73
485,4698.07
486,53261.95
487,50076.85
488,10521.19
489,4683.8
490,2399.13
491,6199.66
492,11471.29
493,5693.51
494,2786.29
495,8146.43
496,4823.46
497,15029.81
498,66971.59
499,6903.75
500,48028.15
501,47812.34
502,8191.01
503,63069.16
504,7179.1
505,54817.41
506,9590.22
507,7296.59
508,10995.77
509,4602.43
510,11611.67
511,53323.88
512,2350.07
513,6247.23
514,2529.01
515,51364.52
516,2210.85
517,5372.13
518,60503.85
519,27354.52
520,65135.96
521,60845.58
522,4726.28
523,67956.92
524,6889.53
525,52698.13
526,7858.2
527,3699.38
528,75962.1
529,35590.62
530,57421.34
531,6138.13
532,5412.41
533,11417.67
534,11834.73
535,3152.4
536,48792.94
537,35205.21
538,4804.88
539,5692.93
540,4506.47
541,12492.7
542,3344.21
543,4638.73
544,42418.34
545,24754.72
546,2432.98
547,52744.12
548,4396.04
549,5215.9
550,52843.72
551,6087.82
552,7570.69
553,54234.35
554,5740.54
555,3016.47
556,6143.59
557,2405.25
558,4345.86
559,5979.74
560,6604.55
561,2264.56
562,57382.54
563,4649.03
564,55305.87
565,5013.6
566,6624.48
567,13299.16
568,14552.35
569,50441.68
570,8078.17
571,6022.56
572,4551.39
573,54480.28
574,5543.03
575,6373.94
576,4569.84
577,42186.24
578,5749.21
579,14313.88
580,5276.14
581,45551.99
582,6186.28
583,5427.65
584,45983.15
585,40654.21
586,6041.29
587,3183.25
588,8224.33
589,54758.13
590,53928.62
591,7622.62
592,2361.09
593,54509.79
594,11103.71
595,10391.57
596,6084.25
597,64159.97
598,11844.18
599,6654.95
600,59868.21
601,3685.1
602,57277.86
603,5464.33
604,12168.12
605,72134.38
606,52203.9
607,28988.41
608,47682.98
609,5753.19
610,55227.33
611,68989.83
612,53481.39
613,57291.0
614,28757.06
615,4686.07
616,14380.34
617,45562.97
618,6023.86
619,8159.8
620,2688.72
621,50785.98
622,12565.11
623,4414.53
624,51119.14
625,8476.43
626,7891.49
627,49860.44
628,4113.96
629,7675.82
630,5594.53
631,54812.42
632,65003.82
633,4902.29
634,8300.03
635,6242.2
636,55960.28
637,55964.6
638,5599.84
639,5026.32
640,2478.96
641,5779.89
642,57692.06
643,10860.13
644,9221.56
645,45547.55
646,6279.9
647,5565.16
648,5102.1
649,50538.36
650,6296.32
651,52906.71
652,7768.1
653,5759.26
654,6153.66
655,2581.22
656,64866.02
657,10185.52
658,5744.92
659,11989.23
660,47177.13
661,3997.21
662,2894.62
663,6847.81
664,12847.13
665,5597.28
666,7483.64
667,6650.96
668,5513.41
669,7283.32
670,9152.3
671,13827.79
672,11213.53
673,9814.55
674,51523.84
675,49621.77
676,5103.1
677,11557.73
678,63021.14
679,3064.47
680,5624.63
681,46312.22
682,4946.4
683,13744.17
684,7315.14
685,5519.97
686,1867.61
687,10184.19
688,11836.93
689,6025.0
690,4612.94
691,34770.03
692,6058.58
693,6773.75
694,4893.85
695,28828.8
696,4190.33
697,5693.61
698,22964.44
699,50147.7
700,2528.4
701,50613.02
702,59263.94
703,50301.83
704,5113.62
705,4734.7
706,57199.74
707,13485.18
708,6790.09
709,47204.75
710,15514.82
711,11847.82
712,4470.83
713,7986.1
714,4297.22
715,4433.12
716,30204.13
717,43163.54
718,8588.12
719,37985.0
720,54252.12
721,5573.23
722,13515.12
723,6303.78
724,4709.58
725,4910.65
726,59988.49
727,2565.64
728,7902.49
729,51926.18
730,47642.21
731,7132.87
732,58104.82
733,2574.39
734,66958.44
735,4303.04
736,5634.57
737,9762.27
738,8694.16
739,13793.24
740,6184.17
741,5657.53
742,8588.6
743,5840.4
744,3276.54
745,50784.31
746,57297.45
747,18181.47
748,5210.18
749,9518.35
750,65006.68
751,11179.26
752,5008.4
753,5876.21
754,4823.35
755,10976.18
756,7067.76
757,16982.49
758,3558.08
759,58355.64
760,4456.2
761,3593.16
762,69924.23
763,6525.44
764,56496.73
765,4490.73
766,4793.17
767,4029.39
768,6554.49
769,4988.51
770,49407.93
771,67130.32
772,77014.82
773,4114.11
774,3424.58
775,5172.86
776,63441.38
777,4449.86
778,78869.39
779,61156.82
780,7097.54
781,2134.24
782,4672.22
783,53005.77
784,8158.47
785,53190.25
786,4493.79
787,5157.74
788,46188.44
789,26706.64
790,5668.44
791,8494.21
792,12774.01
793,59971.86
794,1752.39
795,14255.4
796,1955.35
797,9495.61
798,67334.93
799,6559.57
800,15136.83
801,6268.16
802,43184.39
803,5728.34
804,49974.47
805,58892.43
806,4867.22
807,17141.53
808,5156.66
809,5177.96
810,6220.37
811,3122.24
812,5913.94
813,5798.1
814,11791.75
815,60101.76
816,58591.31
817,8056.31
818,6592.29
819,62637.13
820,31319.3
821,6880.0
822,15286.27
823,52995.95
824,50748.45
825,5215.32
826,55215.68
827,4508.24
828,2644.77
829,5442.67
830,7008.02
831,2176.46
832,54497.75
833,11338.09
834,4683.11
835,3107.53
836,53461.93
837,2362.63
838,52063.35
839,49760.55
840,79232.49
841,53812.51
842,4508.9
843,8969.83
844,4235.03
845,9515.7
846,46434.67
847,52357.72
848,8382.2
849,11545.19
850,49820.87
851,12084.42
852,73908.66
853,49587.95
854,68032.72
855,58281.77
856,4531.72
857,6501.03
858,6442.12
859,6028.81
860,4929.68
861,2256.31
862,2170.5
863,5285.84
864,2950.83
865,2879.01
866,10165.58
867,2767.11
868,1617.5
869,33533.92
870,5469.91
871,49466.76
872,50010.87
873,5980.45
874,12997.76
875,1361.54
876,11912.27
877,2232.63
878,4693.27
879,5941.37
880,5487.32
881,1259.62
882,5452.35
883,3118.24
884,45476.02
885,5480.09
886,53402.34
887,4883.57
888,4853.04
889,9865.72
890,5059.98
891,56072.82
892,7647.92
893,18058.43
894,11789.38
895,11107.78
896,5936.85
897,7836.54
898,7168.05
899,50061.93
900,4095.43
901,24990.42
902,5628.23
903,3273.77
904,5033.38
905,13084.48
906,5260.24
907,10554.74
908,53050.02
909,7626.9
910,5856.26
911,3759.24
912,9369.93
913,1646.45
914,5552.54
915,29406.78
916,5845.48
917,2732.29
918,6755.71
919,9527.75
920,6282.06
921,7872.33
922,2543.0
923,5068.9
924,57932.27
925,4935.09
926,6870.64
927,4996.23
928,62731.71
929,14358.8
930,75660.69
931,46347.71
932,46478.28
933,5738.28
934,4169.8
935,60508.0
936,35987.12
937,2885.69
938,71836.1
939,5035.88
940,5480.84
941,3494.17
942,16788.91
943,62098.28
944,55040.47
945,4401.85
946,5766.67
947,66125.97
948,6158.62
949,48905.9
950,7168.9
951,5633.84
952,8164.8
953,3216.48
954,11860.12
955,11037.97
956,53652.07
957,6138.46
958,5622.38
959,51270.98
960,4088.56
961,2461.58
962,7454.95
963,7934.54
964,5983.21
965,7152.36
966,3985.89
967,6222.74
968,41984.24
969,5437.82
970,6390.392166666666
971,4954.99
972,1735.74
973,2984.69
974,3167.18
975,50135.77
976,3308.29
977,7038.56
978,30437.7
979,55507.46
980,4729.63
981,2345.73
982,54741.28
983,8315.85
984,40344.65
985,45021.19
986,46425.48
987,2089.76
988,2663.94
989,4272.52
990,52693.69
991,45553.63
992,7316.76
993,7763.85
994,5266.63
995,5357.02
996,15555.48
997,5960.53
998,5768.09
999,26592.02
1000,6263.48
1001,7171.48
1002,2723.95
1003,3699.2
1004,29406.78
1005,9903.72
1006,6172.86
1007,76192.37
1008,8814.88
1009,49508.53
1010,5615.51
1011,18129.18
1012,3114.2
1013,31625.26
1014,4990.51
1015,5406.62
1016,8942.69
1017,6047.61
1018,4585.27
1019,6312.19
1020,6605.49
1021,5439.12
1022,46914.6
1023,7311.95
1024,3764.13
1025,63915.72
1026,21644.06
1027,5155.57
1028,34121.2
1029,7043.1
1030,64832.02
1031,6567.41
1032,6617.89
1033,11085.61
1034,44783.45
1035,35374.39
1036,62094.07
1037,10246.59
1038,4376.71
1039,2284.87
1040,11719.38
1041,7910.39
1042,59193.89
1043,6184.03
1044,49273.3
1045,38310.38
1046,20865.64
1047,1910.13
1048,6348.32
1049,10575.8
1050,3970.39
1051,27801.2
1052,5371.18
1053,51842.08
1054,4808.92
1055,3368.58
1056,56312.3
1057,10009.61
1058,60389.36
1059,12251.68
1060,20712.16
1061,2497.5
1062,11240.6
1063,42594.41
1064,57126.01
1065,2661.62
1066,21844.15
1067,13694.74
1068,11269.82
1069,6296.12
1070,10568.52
1071,54007.36
1072,14584.3
1073,52545.55
1074,5388.22
1075,19354.04
1076,5912.93
1077,7597.28
1078,58654.88
1079,4122.87
1080,3124.91
1081,6408.32
1082,3336.51
1083,47026.33
1084,3963.03
1085,6229.52
1086,6256.2
1087,2459.36
1088,4808.54
1089,5255.33
1090,8991.16
1091,2352.85
1092,56320.43
1093,70195.55
1094,6900.67
1095,3005.49
1096,4716.6
1097,33533.47
1098,6260.7
1099,8281.81
1100,48048.66
1101,72906.46
1102,6156.26
1103,45448.1
1104,4752.79
1105,4016.77
1106,5473.48
1107,49412.63
1108,8453.67
1109,8362.86
1110,15555.79
1111,10374.89
1112,54497.34
1113,9130.29
1114,7454.7
1115,3684.67
1116,5655.13
1117,10652.03
1118,3270.72
1119,19621.39
1120,5197.18
1121,6061.81
1122,59728.3
1123,67099.35
1124,59664.53
1125,3092.84
1126,4560.26
1127,10642.86
1128,4588.54
1129,14907.99
1130,47241.26
1131,5356.59
1132,3590.11
1133,6113.5
1134,12125.07
1135,8493.29
1136,69458.05
1137,4007.25
1138,11499.1
1139,4992.89
1140,2625.48
1141,41145.61
1142,9070.85
1143,5371.32
1144,4177.42
1145,55692.04
1146,8261.08
1147,53761.4
1148,4170.08
1149,7346.38
1150,5082.37
1151,8213.56
1152,51377.04
1153,6010.06
1154,4804.16
1155,4359.6
1156,6323.4
1157,2130.75
1158,6398.53
1159,53101.09
1160,2391.04
1161,45858.03
1162,5515.7
1163,5941.44
1164,10635.38
1165,51185.55
1166,7444.63
1167,5846.29
1168,7895.31
1169,4447.09
1170,5924.15
1171,6453.64
1172,22760.32
1173,5820.44
1174,14045.42
1175,16111.86
1176,1726.76
1177,43102.18
1178,10365.83
1179,6925.65
1180,12553.45
1181,16872.82
1182,6306.89
1183,6350.73
1184,1604.87
1185,4488.58
1186,43814.82
1187,8687.45
1188,4604.36
1189,4162.51
1190,48620.92
1191,3748.56
1192,5122.45
1193,4082.06
1194,16761.67
1195,56666.87
1196,6038.35
1197,17689.29
1198,6500.7
1199,55342.91
1200,49513.05
1201,14127.86
1202,5677.25
1203,56782.85
1204,12489.53
1205,5527.47
1206,66239.85
1207,6976.47
1208,32193.44
1209,8768.3
1210,53498.58
1211,6723.46
1212,7721.27
1213,5968.01
1214,11985.22
1215,4185.95
1216,6848.5
1217,5102.85
1218,43833.18
1219,4970.73
1220,53736.27
1221,4411.07
1222,46934.82
1223,7188.12
1224,14195.54
1225,34913.28
1226,4038.76
1227,52473.76
1228,7105.4
1229,3341.59
1230,5367.67
1231,7108.92
1232,2933.76
1233,5628.49
1234,66685.41
1235,4594.14
1236,8953.04
1237,2522.85
1238,11887.55
1239,53677.92
1240,5098.04
1241,48717.77
1242,4218.29
1243,5377.68
1244,48268.63
1245,4767.44
1246,6979.53
1247,12111.35
1248,54106.79
1249,5653.59
1250,12410.06
1251,5658.12
1252,11289.23
1253,56994.08
1254,6691.69
1255,5320.15
1256,6046.54
1257,49038.23
1258,5430.16
1259,27420.55
1260,22714.28
1261,5382.33
1262,8257.09
1263,5156.0
1264,3410.29
1265,34001.94
1266,55340.46
1267,63315.74
1268,4267.04
1269,15533.3
1270,5669.66
1271,64930.19
1272,18263.98
1273,4557.23
1274,5666.92
1275,55084.2
1276,50860.46
1277,13395.38
1278,26777.12
1279,62636.05
1280,78806.69
1281,8964.89
1282,5864.77
1283,9944.84
1284,65845.91
1285,51985.0
1286,22730.3
1287,77730.5
1288,7215.98
1289,12229.64
1290,56087.87
1291,2831.96
1292,2389.2
1293,6221.21
1294,3982.37
1295,39483.01
1296,58427.79
1297,4357.11
1298,7431.01
1299,45105.61
1300,7825.32
1301,4735.52
1302,6342.97
1303,24993.88
1304,2391.8
1305,50653.43
1306,5725.37
1307,2336.06
1308,6760.52
1309,5398.81
1310,10270.73
1311,6231.19
1312,2483.66
1313,50940.61
1314,76978.51
1315,43113.09
1316,61819.95
1317,4880.48
1318,42316.44
1319,13228.7
1320,8445.65
1321,66087.1
1322,6366.62
1323,45844.5
1324,10391.71
1325,6599.58
1326,4114.71
1327,52479.0
1328,12231.52
1329,15951.8
1330,4902.8
1331,5132.4
1332,4403.37
1333,65099.24
1334,4855.56
1335,2819.5
1336,56264.55
1337,46843.52
1338,5714.8
1339,45423.13
1340,4915.58
1341,44464.94
1342,5411.77
1343,45102.28
1344,46264.92
1345,9922.62
1346,5453.59
1347,6045.43
1348,5892.54
1349,45332.92
1350,53833.92
1351,6109.08
1352,48882.27
1353,46320.95
1354,28168.78
1355,45648.81
1356,7258.13
1357,61504.9
1358,50844.89
1359,5685.99
1360,52529.06
1361,49816.8
1362,4989.84
1363,6448.83
1364,3036.27
1365,15018.92
1366,5318.21
1367,13178.99
1368,7235.51
1369,53279.27
1370,54638.71
1371,8259.54
1372,22968.7
1373,5088.41
1374,6044.45
1375,69537.13
1376,63019.66
1377,69817.28
1378,7029.15
1379,52226.84
1380,4458.48
1381,58617.74
1382,56052.2
1383,3882.35
1384,10936.05
1385,64280.94
1386,3549.93
1387,5057.53
1388,4794.54
1389,57470.78
1390,4785.73
1391,4245.45
1392,5375.18
1393,5314.98
1394,68177.64
1395,5661.04
1396,50230.14
1397,45326.39
1398,7344.91
1399,9624.09
1400,5165.74
1401,6040.11
1402,32182.35
1403,50172.22
1404,58199.78
1405,5076.92
1406,5949.47
1407,6254.79
1408,25576.67
1409,49974.47
1410,4991.26
1411,5663.49
1412,48294.82
1413,6061.07
1414,54797.95
1415,17247.56
1416,1399.79
1417,46829.5
1418,5061.41
1419,12215.24
1420,58822.71
1421,53945.24
1422,56867.27
1423,4371.84
1424,75158.13
1425,14223.83
1426,9913.98
1427,47492.64
1428,5178.9
1429,7783.55
1430,2739.48
1431,58499.02
1432,7191.59
1433,63259.35
1434,55388.62
1435,5946.61
1436,14955.06
1437,4772.21
1438,74415.54
1439,60392.53
1440,49801.24
1441,5382.17
1442,52593.9
1443,4433.14
1444,5896.5
1445,6313.42
1446,6012.94
1447,2803.91
1448,6262.87
1449,5432.14
1450,8329.57
1451,10736.01
1452,4406.38
1453,20542.11
1454,15551.78
1455,9407.94
1456,6175.48
1457,2523.63
1458,6352.61
1459,72827.52
1460,11867.89
1461,5827.95
1462,4068.17
1463,4114.17
1464,15712.61
1465,5047.24
1466,4654.95
1467,58657.15
1468,6255.89
1469,48748.35
1470,4840.07
1471,2132.46
1472,5012.78
1473,51870.89
1474,2830.28
1475,32936.11
1476,12523.41
1477,4816.45
1478,10372.19
1479,12442.37
1480,11354.69
1481,5789.62
1482,4930.23
1483,4524.46
1484,3036.96
1485,6111.23
1486,5107.97
1487,56209.05
1488,11236.32
1489,35360.6
1490,42523.8
1491,5138.05
1492,46980.12
1493,5783.86
1494,5739.14
1495,55591.65
1496,9266.97
1497,46216.52
1498,45625.64
1499,8705.04
1500,12203.53
1501,6885.95
1502,8426.63
1503,46969.75
1504,4994.56
1505,7002.35
1506,64376.17
1507,3350.26
1508,11212.59
1509,64458.25
1510,3993.96
1511,4771.63
1512,8854.28
1513,3211.61
1514,2861.34
1515,65623.38
1516,12884.36
1517,2955.22
1518,4164.94
1519,4686.09
1520,51852.9
1521,3961.19
1522,5034.35
1523,53005.45
1524,54108.05
1525,9887.45
1526,42295.24
1527,4263.7
1528,6662.32
1529,76910.03
1530,4291.22
1531,4670.67
1532,56095.08
1533,53516.65
1534,6059.54
1535,4864.36
1536,47017.22
1537,5825.16
1538,7760.37
1539,12925.38
1540,45927.65
1541,5753.73
1542,12775.55
1543,7707.63
1544,3378.03
1545,4946.5
1546,51536.52
1547,20876.84
1548,14442.91
1549,7270.09
1550,45676.62
1551,5304.15
1552,5489.35
1553,69200.37
1554,45535.91
1555,4196.62
1556,4642.01
1557,12776.36
1558,51024.14
1559,5747.72
1560,4561.92
1561,6902.18
1562,9285.25
1563,8363.74
1564,3657.78
1565,2077.65
1566,4721.75
1567,3110.76
1568,10468.59
1569,15610.71
1570,60902.84
1571,5141.15
1572,7543.66
1573,7737.71
1574,8115.7
1575,6875.58
1576,6203.96
1577,43052.96
1578,41221.08
1579,1604.78
1580,7027.56
1581,4524.04
1582,68529.33
1583,42753.29
1584,13719.37
1585,4213.88
1586,3790.14
1587,6563.95
1588,8265.6
1589,45433.49
1590,13239.08
1591,37104.68
1592,4338.17
1593,47647.13
1594,6150.2
1595,67894.82
1596,9257.49
1597,57149.64
1598,2372.96
1599,5862.06
1600,7003.03
1601,55932.93
1602,11245.3
1603,3069.03
1604,56949.4
1605,4979.43
1606,9188.18
1607,5905.63
1608,5530.07
1609,62584.31
1610,5326.91
1611,5379.39
1612,5740.37
1613,10953.64
1614,9992.88
1615,73496.43
1616,8605.6
1617,41578.9
1618,2370.4
1619,60893.15
1620,6431.36
1621,4645.37
1622,43515.97
1623,7753.74
1624,47235.0
1625,13083.02
1626,4479.94
1627,5856.36
1628,10144.46
1629,2420.9
1630,55842.89
1631,14374.01
1632,4768.59
1633,5546.12
1634,6520.84
1635,4902.17
1636,6768.73
1637,47866.32
1638,10903.47
1639,47994.28
1640,4437.46
1641,10376.78
1642,6128.33
1643,5503.59
1644,11229.34
1645,34676.91
1646,4380.23
1647,5991.71
1648,2224.33
1649,12626.8
1650,4801.24
1651,7026.85
1652,5348.6
1653,58999.83
1654,4899.31
1655,5782.75
1656,5915.47
1657,7064.99
1658,5838.81
1659,2524.33
1660,5974.56
1661,56798.32
1662,5682.02
1663,5871.9
1664,4546.41
1665,57086.37
1666,57186.05
1667,48308.6
1668,9087.91
1669,6672.9
1670,6230.34
1671,65680.28
1672,53789.42
1673,5129.78
1674,6259.11
1675,7077.0
1676,64772.03
1677,51467.03
1678,2994.82
1679,8059.29
1680,57362.75
1681,4526.0
1682,60048.95
1683,7995.04
1684,52585.66
1685,11750.15
1686,53746.06
1687,2692.75
1688,65404.03
1689,62847.7
1690,8361.69
1691,48416.07
1692,51437.46
1693,2435.81
1694,5222.84
1695,54602.6
1696,60305.99
1697,6653.82
1698,3427.57
1699,4936.87
1700,6578.41
1701,39378.64
1702,10963.99
1703,5542.85
1704,2592.37
1705,46351.39
1706,4764.04
1707,2872.24
1708,3807.84
1709,5991.3
1710,46687.66
1711,5936.81
1712,63820.05
1713,5366.89
1714,5964.0
1715,5698.91
1716,15574.04
1717,3698.15
1718,9341.23
1719,4070.14
1720,52243.96
1721,3739.73
1722,5172.37
1723,5900.73
1724,6727.83
1725,51605.09
1726,25013.12
1727,2658.72
1728,2740.66
1729,7344.67
1730,5811.22
1731,2131.85
1732,5454.44
1733,11041.4
1734,11920.99
1735,2241.27
1736,61827.69
1737,5984.8
1738,54665.17
1739,5096.67
1740,45429.61
1741,31597.29
1742,54701.01
1743,4462.47
1744,8694.641666666668
1745,60790.66
1746,4255.28
1747,7149.86
1748,4501.31
1749,4881.07
1750,48783.68
1751,4347.0
1752,6596.97
1753,44991.79
1754,5387.95
1755,7106.93
1756,59633.76
1757,59973.33
1758,5135.5
1759,10673.63
1760,46867.76
1761,15762.21
1762,6079.48
1763,5502.47
1764,1809.37
1765,4216.95
1766,2216.51
1767,2221.67
1768,5796.57
1769,6475.99
1770,4493.65
1771,5696.76
1772,9121.07
1773,49148.94
1774,46436.47
1775,54539.73
1776,60041.75
1777,6777.42
1778,6584.21
1779,3962.54
1780,6597.13
1781,60494.75
1782,4227.19
1783,7127.32
1784,3418.69
1785,4259.56
1786,3532.22
1787,46634.96
1788,2462.73
1789,11913.89
1790,61549.04
1791,5352.72
1792,5064.18
1793,33203.61
1794,10901.57
1795,4102.52
1796,3975.1
1797,10297.17
1798,4933.96
1799,33390.93
1800,53590.76
1801,4902.71
1802,3605.54
1803,7090.14
1804,53133.55
1805,5727.41
1806,54449.87
1807,5572.36
1808,48870.79
1809,69275.08
1810,52488.96
1811,7201.46
1812,61165.32
1813,56250.86
1814,59033.6
1815,6222.24
1816,1540.84
1817,4144.08
1818,5831.73
1819,64429.95
1820,6115.91
1821,3615.12
1822,6303.64
1823,5105.6
1824,26403.01
1825,60399.69
1826,68913.6
1827,5950.01
1828,51385.97
1829,7900.66
1830,2366.14
1831,7783.17
1832,8500.86
1833,63357.06
1834,12228.89
1835,16520.7
1836,2192.74
1837,6651.09
1838,21136.46
1839,11407.13
1840,59459.32
1841,4722.96
1842,4740.96
1843,3447.78
1844,10254.39
1845,6504.92
1846,11920.97
1847,46404.0
1848,6315.47
1849,58789.17
1850,57822.65
1851,5619.63
1852,5812.86
1853,53799.07
1854,4756.52
1855,5330.96
1856,5499.38
1857,3211.63
1858,5273.19
1859,5046.31
1860,61202.23
1861,6959.0
1862,55797.41
1863,5165.24
1864,53720.95
1865,5335.18
1866,6803.43
1867,46002.11
1868,5318.0
1869,54595.9
1870,7530.41
1871,41422.44
1872,46704.44
