INT_NO,INT_NAME,SA_NO,INT_LAT,INT_LNG,IS_SMART
150,새롬교회(광림교회),0,37.36639,127.14208,
151,현대오피스빌딩(APUS 3거리),0,37.38017,127.11438,
152,휴맥스빌리지(롯데백화점),0,37.37856,127.11217,0
153,초림3거리,0,37.37539,127.12181,1
154,수내동 우리은행,0,37.37404,127.11996,
155,롯데파크타운,0,37.37351,127.1192,
156,내정4거리,0,37.37165,127.11659,
157,내정어린이공원,0,37.37217,127.12208,0
158,샛별4거리,0,37.37198,127.12565,1
159,수내지하차도,0,37.37019,127.12313,0
160,푸른마을4거리,0,37.3685,127.12083,1
161,정자한일아파트,0,37.36778,127.12169,
162,수내중 단일로,0,37.37046,127.12731,
163,샛별3거리,0,37.36914,127.12879,
164,한방병원 단일로,0,37.36781,127.12787,
165,한방병원4거리,0,37.3671,127.12727,
166,수내파출소(수내 P.B),0,37.36637,127.12627,
167,푸른마을삼거리(연정교회3거리),0,37.36515,127.12458,
168,한솔청구아파트,0,37.36438,127.12367,
169,불정3거리,0,37.36347,127.12316,
170,정든마을우성616동(우성116동),0,37.36235,127.12311,
171,정자동아2차,0,37.36101,127.1231,
172,분당중앙고 삼거리,0,37.36013,127.12301,
173,분당중앙고,0,37.35944,127.12231,
174,정자동아아파트,0,37.35923,127.12034,
175,한솔삼거리(한솔마을3거리),0,37.36857,127.11478,
176,느티마을4단지,0,37.36724,127.1148,
177,한솔6단지(정자동사무소),0,37.36619,127.1148,
178,신기4거리,0,37.36346,127.1148,
179,한솔마을5단지(한솔마을단일로),0,37.36348,127.11725,
180,정든마을4거리,0,37.36348,127.11906,
181,불정4거리,0,37.35921,127.11908,1
182,탄천초교,0,37.3617,127.11482,
183,계원삼거리(한국통신4거리),0,37.35995,127.11483,
184,잡월드 사거리,0,37.3784,127.10897,1
185,백현교4거리,0,37.37719,127.11034,
186,삼성로얄팰리스(판테온정문),0,37.37633,127.11132,
187,정자4거리,0,37.37545,127.11227,1
188,백궁교(판테온후문),0,37.37525,127.10981,
189,백궁4거리,0,37.37368,127.10981,
190,백현환기소3거리,0,37.37245,127.10422,1
191,늘푸른고등학교 교차로(백궁주유소4),0,37.37244,127.10593,
192,백궁3거리,0,37.37243,127.10828,1
193,상록마을아이파크분당1(백궁현대 ),0,37.37095,127.10592,
194,아이파크분당3단지,0,37.36939,127.10593,
195,마테오성당(백현중학교),0,37.37181,127.10983,
196,백현중학교 삼거리,0,37.37047,127.10982,
197,백현초등학교,0,37.37193,127.11223,
198,백현어린이공원,0,37.37132,127.11183,
199,젤존타워Ⅰ(백궁우체국4거리),0,37.36853,127.10593,
200,궁내4거리,0,37.36852,127.10808,1
201,느티마을4거리,0,37.36854,127.10984,0
202,느티마을 안촌유치원,0,37.36855,127.11241,
203,아름방송4거리,0,37.36666,127.10594,
204,정자역 단일로,0,37.36614,127.1081,
205,분당경찰서4거리(벤체타운4거리),0,37.36563,127.10595,
206,상록마을 321동,0,37.36483,127.10981,
207,정자지하차도3거리(정자환기소3거리),0,37.36347,127.10461,1
208,정자1동주민센터(연강병원4거리),0,37.36345,127.10596,0
209,금곡교4거리,0,37.36344,127.10811,1
210,상록4거리(상록마을입구4거리),0,37.36347,127.10982,0
211,상록마을단일로,0,37.36346,127.11237,
212,상록마을302동 단일로,0,37.36347,127.11306,
213,정자대림아크로텔 단일로,0,37.36232,127.10709,
214,금곡주유소3거리,0,37.3599,127.10424,
215,정자일로1사거리(청솔공업사 4거리),0,37.35991,127.10599,
216,불정교4거리,0,37.3599,127.10812,1
217,불정교3거리(주택전시관4거리),0,37.35994,127.10986,0
218,순복음교회앞,0,37.35995,127.11176,
219,늘푸른초등학교,0,37.35788,127.106,
220,정자일로2사거리(보성APT 4거리),0,37.35664,127.10601,0
221,임광보성아파트(금곡보성아파트),0,37.35665,127.1072,
222,금곡4거리,0,37.35666,127.10849,
223,분당경영고(분당 정보산업고),0,37.35662,127.11017,
224,청솔주공5단지,0,37.35565,127.11268,
225,청솔초교,0,37.35451,127.11472,
226,한국가스공사,0,37.35468,127.1184,
227,돌마교4거리,0,37.3532,127.11711,
228,우방우성102동,0,37.35253,127.11838,
229,파랑새공원단일로,0,37.35495,127.106,0
230,청솔유천화인아파트 정문(한전기공),0,37.35433,127.106,0
231,정자일로3사거리(YMCA4거리),0,37.35342,127.10601,
232,청솔마을4거리,0,37.35344,127.10888,
233,청솔종합사회복지관(청솔마을 단일로),0,37.35333,127.11091,
234,이솔유치원(청솔마을 8-9단지),0,37.3527,127.11227,
235,코오롱 트리폴리스,0,37.35138,127.10627,
236,금곡교차로(금곡I/C 3거리),0,37.35007,127.10432,1
237,머내공원4거리(아울렛4거리),0,37.35002,127.10638,
238,미금역4거리,0,37.35004,127.1089,1
239,까치마을신원아파트308동(골드프라자),0,37.35003,127.11202,
240,까치마을4거리,0,37.35102,127.11523,
241,까치마을 단일로,0,37.34928,127.11608,
242,꿈터유치원,0,37.34757,127.11202,
243,미금4거리,0,37.34584,127.10891,
244,하얀마을6단지,0,37.34602,127.11345,
245,하얀마을4거리,0,37.34652,127.11608,
246,안디옥감리교회,0,37.34651,127.11836,
247,하얀마을3거리,0,37.34648,127.12008,
248,오리초교 단일로,0,37.34472,127.1161,
249,동막교삼거리,0,37.34359,127.10891,
250,시그마3거리,0,37.34265,127.10451,
251,시그마Ⅱ 4거리,0,37.34265,127.10591,
252,동막교4거리,0,37.34262,127.10891,1
253,LH오리사옥 정문3거리,0,37.34249,127.11001,0
254,구미교4거리,0,37.34219,127.11609,
255,구미그랜드빌라,0,37.34352,127.11909,
256,성남우편집중국3거리,0,37.34073,127.10895,
257,LH오리사옥 후문(주공후문3거리),0,37.34072,127.10963,
258,LH스포츠센터(주택문화관),0,37.34072,127.11029,
259,오리공원3거리(구미동 YMCA),0,37.34074,127.11169,
260,까르프3거리,0,37.33968,127.10448,
261,NH주유소4거리(하나로후문4거리),0,37.3397,127.10594,
262,오리홈플러스4거리(까르프4거리),0,37.33969,127.10739,
263,오리역3거리,0,37.33971,127.10895,
264,벽산3거리,0,37.33842,127.10472,
265,하나로마트 정문,0,37.33733,127.10673,
266,농수산물센터4거리(벽산사거리),0,37.33599,127.10895,1
267,온세통신3거리,0,37.33589,127.11174,
268,무지개 LG아파트,0,37.33644,127.11366,
269,오리3거리,0,37.3381,127.10895,1
270,성우스타우스(오리먹자골입구),0,37.33809,127.11029,
271,오리1교 4거리(오리교 4거리),0,37.33811,127.11175,
272,오리2교 4거리(오리교 4거리),0,37.33811,127.11311,
273,미금교3거리,0,37.35053,127.12005,
274,서울대병원 단일로,0,37.35063,127.12208,
275,서울대병원 입구,0,37.35019,127.12331,
276,장애인고용공단,0,37.3484,127.12391,
277,서울시니어스타워(서울대병원 주차장),0,37.34732,127.12413,
278,구미중학교(구미중 단일로),0,37.34501,127.12462,0
279,구미4거리,0,37.34343,127.12601,
280,구미제일아파트,0,37.34272,127.12476,0
281,구미라이프APT,0,37.34156,127.12347,
282,구미동사무소,0,37.33974,127.12167,
283,구미파출소3거리(구미 P.B),0,37.33909,127.12073,
284,구미초교3거리,0,37.33817,127.11905,
285,구미초정문,0,37.33753,127.11905,
286,구미초교 단일로,0,37.33811,127.1176,
287,구미공원4거리,0,37.34041,127.11612,
288,구미주공4단지,0,37.33923,127.11615,
289,무지개4거리,0,37.33813,127.11614,1
290,구미대림APT,0,37.33659,127.11673,
291,구미동대림APT4거리,0,37.33576,127.11771,
292,무지개12단지(주공 두산아파트),0,37.33496,127.11816,
293,미금로3거리,0,37.33406,127.11809,
294,대림아파트 후문,0,37.33455,127.11598,
295,불곡초교 단일로,0,37.34037,127.11866,0
296,금곡I/C분당진입,0,37.35421,127.10072,0
297,운중교차로 사거리,0,37.39116,127.06308,
298,상상운 삼거리,0,37.39144,127.06527,
299,운중초교 사거리,0,37.39144,127.06801,
300,중산운 사거리,0,37.39173,127.07583,
301,운중동 주민센타,0,37.3916,127.07834,
302,산운 사거리,0,37.39138,127.08157,
303,하산운 사거리,0,37.39056,127.08547,1
304,판교 도서관 사거리,0,37.38949,127.09017,
305,도서관 삼거리,0,37.38873,127.0939,
306,원마을 8단지 사거리(점멸),0,37.38686,127.09744,
307,광암사거리,0,37.38826,127.09753,
308,낙생농협 4거리,0,37.38963,127.09763,
309,원마을 9단지 사거리,0,37.39073,127.09772,
310,꿈꾸는교회 삼거리,0,37.39273,127.09827,
311,원마을 10단지 3거리,0,37.3934,127.09824,
312,낙생초 삼거리,0,37.39472,127.09817,
313,불꽃교회 삼거리,0,37.39637,127.098,
314,낙원중 삼거리,0,37.39846,127.09672,
315,원마을 11단지 삼거리,0,37.39917,127.0953,
316,성내미 사거리,0,37.3999,127.09474,1
317,원마을 12단지 사거리(점멸),0,37.4006,127.09417,
318,원마을 13단지 삼거리(소등),0,37.40271,127.0925,
319,영운정사 입구 삼거리,0,37.3989,127.09277,
320,판교로 2사거리,0,37.38881,127.08485,
321,하산운 삼거리,0,37.38703,127.08421,
322,산운길3 삼거리,0,37.39319,127.07594,
323,산운마을 10단지 삼거리,0,37.39073,127.07574,
324,판교원2 사거리,0,37.3893,127.07557,
325,두밀 사거리(국은교),0,37.38793,127.07504,
326,산운마을 13단지 1,0,37.3869,127.07461,
327,산운마을 13단지 2,0,37.38568,127.07424,
328,산운마을 14단지,0,37.3842,127.07427,
329,연구원 사거리(점멸),0,37.39221,127.06352,
330,월든힐스 2단지(점멸),0,37.3928,127.06516,
331,월든힐스 3단지(점멸),0,37.39263,127.06711,
332,운중초교 정문 삼거리,0,37.39221,127.0681,
333,산운마을 4단지 단일로(점멸),0,37.39074,127.06788,
334,운중초교 후문 삼거리,0,37.39299,127.06917,
335,서판교ic 사거리,0,37.38837,127.07002,1
336,원마을 3단지 북문(점멸),0,37.3886,127.08579,
337,원마을 3단지 서문(점멸),0,37.38769,127.08689,
338,판교중 사거리(점멸),0,37.38672,127.08653,
339,판교 도서관앞(점멸),0,37.39142,127.09085,
340,도서관 주택가 사거리(점멸),0,37.39056,127.09054,
341,판교어린이집 3거리(점멸),0,37.38635,127.08803,
342,원마을 5단지 사거리,0,37.38776,127.08956,
343,판교초교 삼거리,0,37.38636,127.08909,
344,원마을 7단지 단일로(점멸),0,37.3863,127.09315,
345,낙원중 입구(점멸),0,37.39764,127.0954,0
346,산운초 단일로,0,37.389,127.07848,
347,신미주 1단지 4거리,0,37.40675,127.11545,
348,삼평동사무소,0,37.40583,127.11546,
349,송현초 단일로,0,37.40525,127.11554,
350,송현초 4거리(사송사거리),0,37.40432,127.11617,
351,산운교회 4거리,0,37.40266,127.11685,
352,봇들마을 6단지,0,37.40137,127.11686,
353,삼평중 삼거리,0,37.39985,127.11683,1
354,구숯내교삼거리,0,37.39834,127.11682,
355,보평초 4거리,0,37.39622,127.11682,
806,대원 사거리,30,37.43346,127.1597,
808,청소년수련관 사거리,30,37.43054,127.15405,
809,아튼빌정문 사거리,30,37.42996,127.1517,
810,아튼빌후문 삼거리,30,37.42935,127.14925,
356,보평초정문 단일로,0,37.39589,127.11843,
357,보평중.고 사거리,0,37.39333,127.11682,
358,동판교로사거리(세계로사거리),0,37.39189,127.11682,
359,백현마을 3.4단지 입구,0,37.39057,127.11681,
360,화랑초교 단일로,0,37.38885,127.11634,
361,재넘어 삼거리,0,37.38819,127.11538,
362,백현동 주택단지 사거리,0,37.38795,127.11442,
363,봇들 사거리,0,37.40323,127.11291,1
364,삼평 사거리(소방서),0,37.39985,127.11296,
365,봇들교 사거리,0,37.39832,127.11296,
366,판교역 사거리,0,37.39622,127.11294,1
367,광장로사거리(백현마을 1단지),0,37.39376,127.11294,
368,느티나무사거리(광장로사거리),0,37.39174,127.11294,1
369,백현 사거리(신백현초),0,37.38794,127.11293,
370,판교테크노13사거리(점멸),0,37.40397,127.10968,
371,판교테크노14사거리(테크윈),0,37.40323,127.10969,
372,SK캐미컬 사거리,0,37.40243,127.10967,
373,안철수연구소 사거리,0,37.40094,127.10967,
374,판교테크노3사거리(안철수),0,37.39984,127.10967,1
375,동안교 삼거리,0,37.39775,127.10968,
376,동안 사거리,0,37.39623,127.10968,
377,환승주차장 삼거리,0,37.39375,127.10968,
378,낙생지하차도 삼거리,0,37.38968,127.1089,
379,낙생대공원 삼거리,0,37.38795,127.10843,
380,휴먼시아8단지 삼거리,0,37.38733,127.10842,
381,흰돌교회 단일로 1,0,37.38693,127.10842,
382,흰돌교회 단일로 2(점멸),0,37.38612,127.10841,
383,휴먼시아9단지 사거리,0,37.38525,127.1084,
384,백현야구장 삼거리(점멸),0,37.38375,127.11074,
385,동안삼거리(한신교회),0,37.39833,127.11405,
386,롯데마트사거리(봇들마을8단지),0,37.39621,127.11404,
387,안철수연구소 삼거리(점멸),0,37.40095,127.11176,
388,판교역 1번출구 단일로,0,37.39622,127.11127,
389,판교역 3번출구 단일로,0,37.39373,127.11118,
390,백현동사무소,0,37.38793,127.11111,
391,신백현초 정문 단일로(점멸),0,37.38735,127.11132,
392,만도연구소(점멸),0,37.40517,127.10033,
393,포스코삼거리,0,37.40403,127.10221,
394,포스코단일로,0,37.40341,127.10253,
395,넥슨코리아(점멸),0,37.40237,127.10255,
396,NS홈쇼핑(점멸),0,37.40093,127.10255,
397,생태학습관 삼거리(점멸),0,37.39986,127.10372,
398,중앙일보(점멸),0,37.39985,127.10256,
399,우림사거리(점멸),0,37.40373,127.09902,
400,모다아울렛(점멸),0,37.40171,127.10018,
401,마이다스(점멸),0,37.40086,127.10079,
402,송암시스템(점멸),0,37.39984,127.10123,
403,판교테크노중앙사거리,0,37.40322,127.10495,1
404,판교테크노2사거리,0,37.39984,127.10647,
405,화랑공원 삼거리,0,37.39625,127.10693,
406,판교I/C 사거리,0,37.39424,127.10562,
407,낙생고 삼거리,0,37.3884,127.10158,1
408,백현고가 4거리,0,37.3816,127.10228,1
409,성남외고 삼거리,0,37.37823,127.10208,
410,은혜와진리교회 삼거리,0,37.37498,127.10176,
411,궁안동 입구 3거리,0,37.37053,127.10174,
412,삼다가 삼거리,0,37.36956,127.1017,
413,장수촌 단일로,0,37.36663,127.10159,
414,궁내T/G 사거리,0,37.36373,127.1016,
415,보바스기념병원 사거리,0,37.35754,127.10175,
416,로얄냉장 사거리,0,37.35345,127.1017,
417,동원동 삼거리,0,37.34472,127.1015,
418,금곡IC단일로,0,37.34221,127.10257,
419,금곡IC분당진입,0,37.35007,127.10298,
420,정신문화연구원,0,37.39141,127.05731,
421,송유관공사 삼거리,0,37.38044,127.04807,
422,이우학교 삼거리,0,37.35203,127.08585,
423,동막I/C 밑,0,37.35334,127.08143,
424,대장I/C 출구,0,37.36175,127.0678,
425,대장I/C 입구,0,37.35944,127.06821,
426,엔씨소프트단일,0,37.39984,127.10846,
427,스타트업캠퍼스 삼거리(점멸),0,37.40396,127.10648,
428,수질복원센터 삼거리,0,37.39789,127.10157,
429,판교주민센터 뒤(점멸),0,37.38962,127.09975,
430,낙생초교 후문(점멸),0,37.39473,127.10027,
431,낙생초교 정문(점멸),0,37.39473,127.09916,
432,성내미마을 삼거리(점멸),0,37.40161,127.09336,
433,지역난방공사 뒤(점멸),0,37.39504,127.10195,
434,운중교 삼거리(점멸),0,37.39018,127.06781,
435,서판교로 66번길,0,37.39272,127.09952,
436,이배재 사거리,0,37.43166,127.1791,1
437,반포산업 사거리,0,37.43113,127.1742,
438,코멕스 삼거리,0,37.43153,127.17216,
439,공단본부 사거리,0,37.43218,127.16762,
440,대원지구대 삼거리,0,37.43265,127.16595,1
441,한일레미콘 단일로,0,37.4329,127.16404,
442,대원 사거리,0,37.43342,127.15993,1
443,자이아파트 삼거리,0,37.43238,127.15772,
444,청소년수련관 사거리,0,37.43056,127.15404,1
445,아튼빌정문 사거리,0,37.42997,127.15166,
446,아튼빌후문 삼거리,0,37.42935,127.14916,
447,방송고 단일로,0,37.42887,127.14718,
448,검단초교 사거리,0,37.42829,127.14474,
449,하대원파출소 사거리,0,37.42826,127.14182,1
450,성남동현대아파트 삼거리,0,37.4291,127.14003,
451,중원구청 사거리,0,37.42972,127.13715,1
452,신광교회 단일로,0,37.42913,127.13533,
453,월드카센타 앞,0,37.42892,127.13326,
454,천주교성당 앞,0,37.4291,127.13151,
455,금광중 후문,0,37.44749,127.17104,
456,하원초교 삼거리,0,37.44719,127.16961,
457,신구대 사거리,0,37.44671,127.16731,
458,금광2동사무소 단일로,0,37.44611,127.1645,
459,금광1동사무소 사거리,0,37.44527,127.16184,
460,단대쇼핑뒤 단일로,0,37.44462,127.16,
461,해오름 사거리,0,37.44397,127.15791,
462,중앙동사무소 삼거리,0,37.44307,127.15574,
463,중앙동 사거리,0,37.44178,127.15285,
464,성남공판장 단일로,0,37.44064,127.15033,
465,제일초교 단일로,0,37.43958,127.14788,
466,성호시장 사거리,0,37.43845,127.14535,
467,성일여중고 사거리,0,37.43666,127.14201,
468,성일여고 삼거리,0,37.43602,127.14089,
469,성호지구대 단일로,0,37.4354,127.13976,
470,운동장후문 삼거리,0,37.43462,127.13811,
471,운동장 사거리,0,37.434,127.13504,0
472,삼영전자 앞,0,37.44397,127.15491,
473,세이브존 단일로,0,37.4432,127.15333,
474,우리은행 사거리,0,37.44263,127.15218,1
475,성남우체국,0,37.4418,127.1501,
476,신흥 사거리,0,37.43962,127.14455,
477,수진역 사거리,0,37.43762,127.14097,1
478,모란 사거리,0,37.43358,127.12892,1
479,둔전교회 앞,0,37.43342,127.12747,
480,고속화도로 출구,0,37.43248,127.11988,
481,탄천 삼거리,0,37.43242,127.11894,
482,동양공업사 사거리,0,37.4339,127.17895,
483,보통골 동성교통앞,0,37.43533,127.17884,
484,근로복지관 삼거리,0,37.43794,127.17861,1
485,궁전아파트 삼거리,0,37.44013,127.17895,
486,궁전아파트 사거리,0,37.44134,127.17911,
487,파리크라상 사거리,0,37.43504,127.17031,
488,구공단파출소 오거리,0,37.43776,127.17374,1
489,순흥물산 삼거리,0,37.43983,127.17611,
490,자동차검사소 삼거리,0,37.44189,127.17765,
491,중원경찰서 사거리,0,37.44232,127.16868,
492,금광1파출소 사거리,0,37.44514,127.16826,
493,신구대서문 삼거리,0,37.44873,127.16661,
494,금광중 단일로,0,37.44616,127.17079,
495,금광 삼거리,0,37.44793,127.17307,
496,래미안 삼거리,0,37.4502,127.17436,
497,금상초교 단일로,0,37.44253,127.16612,
498,금광주유소 단일로,0,37.4418,127.16417,
499,학년쇼핑 단일로,0,37.44036,127.1625,
500,단남아파트 단일로,0,37.44215,127.15962,
501,해오름주차장 사거리,0,37.44117,127.15994,
502,상대원고개 단일로,0,37.4398,127.15937,
503,상대원시장 삼거리,0,37.43639,127.15814,
504,상대원고개 농협단일로,0,37.43542,127.15812,
505,대원터널 앞,0,37.43257,127.16034,
506,도촌동입구 삼거리,0,37.41725,127.14993,
507,도촌동입구 사거리,0,37.41547,127.14781,
508,신지교회 단일로,0,37.43703,127.1463,
509,성일고 삼거리,0,37.43563,127.14727,
510,성남서고 삼거리,0,37.43471,127.1479,
511,하대원현대아파트 삼거리,0,37.43243,127.1507,
512,대하초교 단일로,0,37.43112,127.1512,
513,은행동순환로밑 삼거리,0,37.45313,127.17252,
514,중부초교 사거리,0,37.45086,127.16588,
515,은행동현대아파트 삼거리,0,37.45029,127.16312,
516,중앙병원 단일로,0,37.45362,127.16194,
517,해성주유소 사거리,0,37.42827,127.13787,
518,여수지하차도위 사거리,0,37.42154,127.12883,1
519,모란시장 사거리,0,37.42981,127.1294,1
520,모란 삼거리,0,37.43281,127.12903,
521,모란견인소 삼거리,0,37.43013,127.12016,
522,탄천로변 삼거리,0,37.43038,127.11889,
523,공단주유소 오거리,0,37.43461,127.17396,
524,우림라이온스밸리 사거리,0,37.43354,127.17112,
525,에이스경로당 사거리,0,37.44128,127.17143,
526,에스콰이어교회 앞,0,37.43963,127.17243,
527,중원보건소 삼거리,0,37.44173,127.17027,
528,갈현 삼거리,0,37.42247,127.17061,
529,중앙초교 앞,0,37.43529,127.14318,
530,여울목 삼거리,0,37.42021,127.15724,
531,도촌동 1단지앞,0,37.41485,127.14834,
532,도촌남로 사거리,0,37.41422,127.15018,
533,도촌프라자 단일로,0,37.41443,127.15194,
534,도촌중입구 사거리,0,37.41448,127.15508,
535,도촌초교 단일로,0,37.414,127.15724,0
536,도촌초교 삼거리,0,37.41361,127.15836,
537,도촌초교 정문,0,37.41417,127.15877,
